item,p_naive,r_itemrest_comb,r_itemrest_crt2,pct_intuitive_errors,exposure_delta_p
crt2_q1,0.5384615384615384,0.1942458142848382,0.11030560216876095,0.9166666666666666,0.24210526315789482
crt2_q2,0.5961538461538461,0.31797235023041476,0.28236617160761607,1.0,-0.004784688995215336
crt2_q3,0.7692307692307693,0.40198444832648883,0.3853373177942263,0.9166666666666666,0.15625
crt2_q4,0.11538461538461539,0.5288163929546185,0.22763575018226012,0.8043478260869565,0.09586806814063067
bcrt_q1,0.40384615384615385,0.1347051078160489,0.2059423227616777,0.25806451612903225,0.025089605734766984
bcrt_q2,0.6153846153846154,0.2989075796047841,0.38543121570661937,0.25,0.16973723950468134
bcrt_q3,0.3076923076923077,0.46885192068133313,0.3791948293655144,0.5,0.2181818181818182
bcrt_q4,0.1346153846153846,0.2880848430129491,0.25739988959542104,0.3333333333333333,0.17548184670551326
bcrt_q5,0.2692307692307692,0.1870042111724999,0.23329399487281147,0.39473684210526316,0.10670314637482897
bcrt_q6,0.46153846153846156,0.3149152005334578,0.20060925414652364,0.42857142857142855,0.15204615877764716
